checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,housing,age,job,num_dependents,class
no checking,9,existing paid,furniture/equipment,7564,<100,unemployed,1,own,46,unskilled resident,1,good
<0,70,critical/other existing credit,car,6765,>=1000,4<=X<7,2,free,56,skilled,1,bad
<0,60,existing paid,radio/tv,5344,<100,1<=X<4,1,rent,43,unskilled resident,2,bad
0<=X<200,11,delayed previously,education,4340,500<=X<1000,unemployed,3,own,58,skilled,1,bad
no checking,35,existing paid,car,7878,no known savings,4<=X<7,3,free,59,skilled,1,good
<0,40,no credits/all paid,education,5857,>=1000,<1,2,free,43,skilled,1,good
no checking,35,no credits/all paid,other,10586,500<=X<1000,1<=X<4,1,rent,55,skilled,1,good
>=200,64,all paid,radio/tv,4825,<100,>=7,3,own,56,high qualif/self emp/mgmt,2,good
<0,71,delayed previously,car,1793,no known savings,<1,2,own,46,unskilled resident,2,good
>=200,38,critical/other existing credit,other,626,no known savings,>=7,3,own,40,unskilled resident,2,good
>=200,6,existing paid,education,6104,>=1000,unemployed,3,own,51,unskilled non-resident,1,good
<0,6,critical/other existing credit,radio/tv,16260,no known savings,unemployed,3,free,34,unskilled resident,1,bad
no checking,16,delayed previously,other,2517,>=1000,<1,2,own,49,unskilled non-resident,2,good
>=200,33,critical/other existing credit,other,6841,100<=X<500,4<=X<7,3,free,52,high qualif/self emp/mgmt,1,good
no checking,49,no credits/all paid,education,18400,<100,>=7,2,rent,23,unskilled resident,1,good
no checking,48,no credits/all paid,education,8048,100<=X<500,4<=X<7,2,own,27,high qualif/self emp/mgmt,1,bad
>=200,30,no credits/all paid,car,14374,100<=X<500,4<=X<7,4,free,74,unskilled resident,1,good
0<=X<200,19,all paid,furniture/equipment,6482,>=1000,4<=X<7,2,free,30,skilled,2,good
no checking,62,critical/other existing credit,car,1907,>=1000,unemployed,1,rent,29,high qualif/self emp/mgmt,2,good
>=200,13,all paid,repairs,320,500<=X<1000,1<=X<4,4,free,46,high qualif/self emp/mgmt,1,good
<0,13,critical/other existing credit,business,18016,no known savings,1<=X<4,1,rent,56,high qualif/self emp/mgmt,1,good
no checking,29,no credits/all paid,education,2476,<100,4<=X<7,1,own,34,unskilled resident,1,good
0<=X<200,39,all paid,business,10545,<100,1<=X<4,4,rent,61,skilled,2,good
no checking,7,delayed previously,education,3526,no known savings,>=7,2,own,35,unskilled non-resident,2,bad
<0,53,existing paid,furniture/equipment,14608,>=1000,1<=X<4,1,own,71,skilled,1,bad
<0,39,no credits/all paid,car,18378,<100,1<=X<4,3,own,32,skilled,1,good
0<=X<200,70,delayed previously,radio/tv,1914,no known savings,4<=X<7,3,rent,19,skilled,1,good
0<=X<200,26,delayed previously,education,14264,>=1000,unemployed,1,rent,75,unskilled non-resident,1,bad
<0,61,all paid,car,10351,100<=X<500,unemployed,3,rent,62,unskilled non-resident,1,good
>=200,25,all paid,other,5574,<100,4<=X<7,1,rent,66,skilled,2,bad
<0,40,all paid,other,3792,500<=X<1000,unemployed,4,rent,31,high qualif/self emp/mgmt,2,good
